Start_Time,End_Time,Text,Confidence
42.2,42.6,yes,0.9894322752952576
46.1,47.4,I'm doing great how about you,0.9848369359970093
51.3,55.1, I'm born in the US I was born in Orlando Florida,0.9460811614990234
57.9,63.4, my parents my dad had a lot of friends in Los Angeles so decide to move here,0.8720755577087402
68.0,89.4, he was pretty different I mean the place I was before was very it was a very small town we probably won't even notice it on the map so it was a big learning experience on cuz we know the schools were a lot larger in different cultures and ethnicities so it was a unique experience,0.9427175521850586
93.3,98.5, last time I've been back was probably about 5 years ago,0.9329223036766052
102.5,118.1, definitely different my aunt she lives in again and she lives in a small town I'm so if you want to go to a movie theater you have to drive out at least an hour or if you want to go to a mall it's it's an hour drive so I'm the complete opposite of Los Angeles,0.957417905330658
122.5,139.6, convenience everything everything I could possibly want is here the weather is great shopping mall have a lot of friends here Sports place just kind of like the perfect area you know you don't want to live here kind of for the rest of my life actually,0.9234011173248291
143.5,157.0, the big thing would probably be traffic I mean wherever you go there's going to be traffic with it on the 405 for the 101 it's it's just traffic you know I can kill like 2 hours in your day which is huge,0.9432699084281921
160.0,171.5, quite a bit for a personal info for Business site travel you know he usually overseas or domestically my trouble so and I enjoyed a lot,0.888254702091217
174.8,193.9, I'm singing different places different areas meeting new people eating different kinds of food being able to sightsee and tour if I have a day or two free I'll miss just experiencing now I'm having new experiences just in riches my life,0.9278716444969177
196.9,197.9, I'm computers,0.9337965846061707
200.2,201.9, and I also did English as well,0.9792682528495789
205.0,205.8, yes I am,0.8765928745269775
207.9,212.2, I'm at work an it and it department at a Semiconductor Company,0.9001350402832031
215.8,224.0, probably working for Apple since I pretty much when everything they have be great to work for Apple,0.8905937671661377
228.6,235.8, I'll get it depends there are times when it's good to be alone but for the most part I consider myself an outgoing social person,0.9787018895149231
241.0,254.1, nothing too much I guess if you kind of make a promising you and you break it several times and I might get a little bit make it a little bit annoyed but I don't think I would get really mad,0.9552724957466125
259.4,264.8, all the questions I probably say I tend to eat a little bit more,0.8570883274078369
267.8,276.9, just kind of keep my mind off of a little bit but usually doesn't last that long so it's a product I 10 that you. A little bit more more kind of like maybe junk food or something,0.9084346890449524
281.3,296.3, I think I'm pretty good I rarely get mad and if I do it doesn't really last that long so I think I'm pretty good at controlling my temper again I really don't get angry so it's not really an issue for me,0.9373183846473694
301.8,313.0, I said during the elections were talking about President Obama and Mitt Romney and you know who'd be the best fit for the next presidency,0.9182755351066589
315.6,323.2, that kind of got a little bit I guess a little bit heated but it was more for I guess more fun six and anything else but it was an interesting conversation,0.9393050074577332
327.2,334.2, I like to eat out a lot watch movies play video games,0.9455651640892029
336.2,350.2, disco out shop play sports watch the Laker game if I can if person would be probably the best bowling photography like doing a lot I like to do a lot of different things and of course like Tronics,0.9219299554824829
354.1,362.7, the outgoing loyal intelligent funny and a great listener,0.9518046379089355
365.8,367.0, no I have not,0.974514365196228
369.8,370.2, no,0.9252569079399109
377.0,385.8, for most nights it's it's pretty easy just have to avoid drinking coffee or tea before I sleep more than that it's pretty easy,0.8960750102996826
390.7,408.4, what's a little bit sluggish tired kind of reaction times a little bit slower aside from that nothing nothing too much like two glaring or anything the usual just being sluggish and not moving as quickly as I should,0.9033429026603699
411.6,414.4, I'm pretty good have no complaints,0.9461353421211243
418.7,420.1, pretty much the same,0.8890601992607117
425.8,442.9, I guess today I had my car maintenance today and it didn't cost me anything so that's great and I thought it was going to cost me you know something extra on the side but you know the the service advisor waved it so I got everything free today so I actually have a really good mood,0.9601085186004639
446.9,448.2, nothing,0.9738724231719971
453.2,466.2, probably don't spend as much save more money aside from that nothing else just be kind of more wise with your money,0.9504271149635315
471.5,473.0, I'm replacing my best friend,0.8578793406486511
474.0,495.3, he's kind of a you know help me out and I help them out as well so it's been kind of a great learning experience. Developing our our friendship and he's bailed me out a couple of times I feel them out as well so it's kind of mutual thing we do you know what each other and it's a great way to bond as well,0.9428048133850098
503.5,533.6, I say probably going back back to Korea to visit my relatives you know they are a lot more different than I remember 15 years ago when I was a kid I was actually kind of afraid of some of them but now that I see them you know recently they've actually mellowed a lot and they're actually pretty fun to talk to you so it was kind of a learning experience for me because they're you know do they complete 180 from when I was at when I was a kid,0.9602189660072327
543.9,545.1, I'm sorry poem,0.8048344850540161
549.2,550.9, guesswork would be part of it,0.8493071794509888
554.6,567.8, buying my the car that I wanted to a couple years to save up to buy the car but I I paid it all off so I don't have any more car payment so that's great too and you know being able to help my family all this wall,0.9234787821769714
575.2,611.7, let's see a couple weeks ago I went to Las Vegas for the 4 CS which is great if you fancy gadgets electronic song you get to see all the other goodies coming out this year so that was pretty interesting to see and some things that you know when you read on blogs they didn't talk about so you get to see it actually in-person kind of experience it from a user standpoint so I thought it was great and it's just fun is Conecuh being a kid in the candy store you get to play with different gadgets so it's really fun for me,0.9563977718353271
